Proposal code,Origin period season sequence,Period,Rabobank Region,Crop,Crop Naics code,Crop naics descripion,Area,Noise1,Noise2,Noise3,Yield,Cost,Price,Financial information sequence,Last update,Esport date and time
232,0,4/12/2021,Barreiras,Cebola Sequeiro,28,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,6157,0.57,-0.32,-0.56,336350.0,55170.0,-219.0,3/20/2021,1/5/2021,4/25/2021
233,0,11/2/2020,Barreiras,Cebola Sequeiro,40,volutpat erat quisque erat eros viverra eget congue eget semper rutrum,7325,0.51,0.45,-0.98,391750.0,82250.0,-417.0,8/20/2021,11/17/2020,2/26/2021
234,4,9/21/2020,Barreiras,Melancia irrigada,113,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,1228,0.45,-0.7,1.61,83900.0,-1720.0,817.0,12/24/2020,6/5/2021,11/12/2020
235,1,9/30/2020,Barreiras,Melancia irrigada,49,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,5644,-0.46,0.13,-0.89,259200.0,59040.0,-389.0,6/16/2021,1/23/2021,11/18/2020
236,4,9/16/2020,Barreiras,Cebola Sequeiro,3,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,9590,0.27,0.5,-0.01,493000.0,105900.0,90.0,10/22/2020,1/15/2021,6/2/2021
237,0,11/28/2020,Barreiras,Abobora Irrigada,35,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,6756,-0.1,-0.65,-0.34,332800.0,54560.0,-103.0,6/24/2021,1/20/2021,9/16/2020
238,4,8/22/2021,Barreiras,Abobora Irrigada,17,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,7656,-0.81,-0.17,-0.59,342300.0,73160.0,-219.0,1/30/2021,12/11/2020,6/4/2021
239,0,9/10/2021,Barreiras,Melancia irrigada,19,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,3907,-0.69,1.83,0.24,160850.0,75670.0,159.0,5/21/2021,1/2/2021,9/8/2021
240,3,7/12/2021,Barreiras,Melancia irrigada,51,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,6729,0.61,-1.28,0.59,366950.0,41690.0,362.0,12/9/2020,7/23/2021,8/16/2021
241,2,11/16/2020,Barreiras,Melancia irrigada,28,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,2729,-0.96,-2.0,-0.29,88450.0,-12710.0,-118.0,5/20/2021,9/29/2020,2/28/2021
242,4,3/9/2021,Barreiras,Melancia irrigada,113,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,6033,1.74,0.66,-0.68,388650.0,73530.0,-280.0,7/2/2021,3/19/2021,8/13/2021
243,1,12/31/2020,Barreiras,Cebola Sequeiro,30,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,3257,-1.11,-0.3,0.59,107350.0,26570.0,327.0,6/6/2021,2/17/2021,5/11/2021
244,2,1/31/2021,Barreiras,Melancia irrigada,30,non sodales sed tincidunt eu felis fusce posuere felis sed,2707,0.61,0.72,-0.05,165850.0,41470.0,2.0,3/28/2021,8/22/2021,5/26/2021
245,1,5/31/2021,Barreiras,Melancia irrigada,85,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,7148,0.87,1.36,-1.0,400900.0,98680.0,-429.0,7/13/2021,5/8/2021,2/3/2021
246,3,4/2/2021,Barreiras,Melancia irrigada,26,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,4085,0.94,-0.52,0.22,251250.0,30450.0,150.0,4/19/2021,7/11/2021,11/24/2020
247,3,3/23/2021,Barreiras,Melancia irrigada,81,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,7999,1.8,1.08,0.75,489950.0,101590.0,454.0,2/13/2021,10/3/2020,7/23/2021
248,0,8/13/2021,Barreiras,Abobora Irrigada,26,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,233,-0.13,0.23,-0.07,5150.0,6930.0,-33.0,1/24/2021,4/5/2021,4/28/2021
249,1,4/14/2021,Barreiras,Melancia irrigada,114,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,7783,0.56,0.09,-0.11,417150.0,79630.0,22.0,11/28/2020,10/28/2020,3/2/2021
250,2,7/12/2021,Barreiras,Cebola Sequeiro,64,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,775,-0.46,0.7,-0.57,15750.0,21750.0,-278.0,9/21/2020,3/22/2021,9/21/2020
251,4,2/7/2021,Barreiras,Cebola Sequeiro,101,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,9332,-0.76,-0.73,-1.55,428600.0,78720.0,-682.0,3/30/2021,9/27/2020,3/8/2021
252,3,10/1/2020,Barreiras,Melancia irrigada,110,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,9631,0.02,1.03,-1.22,482550.0,116910.0,-514.0,1/1/2021,3/10/2021,2/23/2021
253,3,9/26/2020,Barreiras,Melancia irrigada,110,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,4108,-0.29,0.08,0.05,190900.0,42680.0,66.0,2/3/2021,10/23/2020,6/1/2021
254,1,3/27/2021,Barreiras,Abobora Irrigada,138,sit amet nunc viverra dapibus nulla suscipit ligula in lacus,8447,-0.79,1.98,-1.84,382850.0,124070.0,-836.0,8/31/2021,4/25/2021,7/29/2021
255,4,2/23/2021,Barreiras,Cebola Sequeiro,109,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,9818,-0.83,0.01,-0.77,449400.0,98380.0,-287.0,2/25/2021,7/30/2021,9/1/2021
256,4,10/26/2020,Barreiras,Melancia irrigada,74,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,7874,-0.95,-0.16,-0.68,346200.0,75540.0,-262.0,1/16/2021,2/12/2021,1/18/2021
257,0,3/31/2021,Barreiras,Melancia irrigada,85,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,490,1.15,-0.06,0.47,82000.0,3700.0,239.0,12/6/2020,1/25/2021,2/7/2021
258,3,3/24/2021,Barreiras,Abobora Irrigada,34,a odio in hac habitasse platea dictumst maecenas ut massa quis augue,2424,0.13,-1.43,1.43,127700.0,-4360.0,739.0,10/13/2020,8/11/2021,5/26/2021
259,4,4/28/2021,Barreiras,Cebola Sequeiro,34,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,4577,-0.06,0.06,0.29,225850.0,46970.0,190.0,12/14/2020,9/21/2020,5/16/2021
260,0,3/9/2021,Barreiras,Abobora Irrigada,107,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,6132,-1.47,-1.98,-0.85,233100.0,21720.0,-364.0,7/23/2021,10/8/2020,10/11/2020
261,4,9/22/2021,Barreiras,Abobora Irrigada,129,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,1198,0.86,-0.59,-0.18,102900.0,180.0,-79.0,1/12/2021,5/2/2021,12/29/2020
262,2,4/29/2021,Barreiras,Melancia irrigada,53,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,9072,-0.63,-0.67,0.2,422100.0,77320.0,190.0,12/21/2020,4/17/2021,8/23/2021
263,4,4/12/2021,Barreiras,Cebola Sequeiro,9,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,781,1.19,0.45,1.18,98550.0,16810.0,597.0,9/24/2020,7/3/2021,5/27/2021
264,4,9/6/2020,Barreiras,Melancia irrigada,89,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,1711,-0.3,-0.8,0.1,70550.0,1110.0,67.0,6/24/2021,6/1/2021,1/3/2021
265,1,7/8/2021,Barreiras,Melancia irrigada,9,quis odio consequat varius integer ac leo pellentesque ultrices mattis,3411,-0.76,-0.63,-1.26,132550.0,21510.0,-596.0,10/4/2020,7/28/2021,7/15/2021
266,2,8/30/2021,Barreiras,Melancia irrigada,16,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,2809,0.9,-0.9,1.19,185450.0,10090.0,623.0,7/11/2021,3/20/2021,6/4/2021
267,4,1/21/2021,Barreiras,Melancia irrigada,101,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,8144,1.49,1.84,-0.86,481700.0,118240.0,-349.0,12/28/2020,5/31/2021,7/26/2021
268,2,11/22/2020,Barreiras,Cebola Sequeiro,33,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,4917,-0.13,0.12,-1.26,239350.0,51570.0,-581.0,5/14/2021,7/29/2021,2/19/2021
269,1,3/21/2021,Barreiras,Melancia irrigada,128,sagittis sapien cum sociis natoque penatibus et magnis dis parturient,2442,1.25,1.68,-0.8,184600.0,58020.0,-376.0,5/28/2021,9/25/2020,9/21/2020
270,4,7/27/2021,Barreiras,Melancia irrigada,27,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,1558,-1.13,-0.42,-0.88,21400.0,7180.0,-425.0,4/23/2021,7/18/2021,7/4/2021
271,3,11/28/2020,Barreiras,Abobora Irrigada,62,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,4242,0.56,-1.94,0.81,240100.0,3620.0,447.0,6/16/2021,9/4/2021,4/24/2021
272,0,10/31/2020,Barreiras,Melancia irrigada,21,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,376,-1.26,-1.04,2.4,-44200.0,-17040.0,1203.0,9/13/2021,12/29/2020,1/13/2021
273,1,10/26/2020,Barreiras,Melancia irrigada,16,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,6063,-0.58,-0.52,-1.11,274150.0,50230.0,-495.0,1/5/2021,1/31/2021,7/21/2021
274,2,12/22/2020,Barreiras,Abobora Irrigada,106,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,3275,-0.65,-0.38,-1.19,131250.0,25150.0,-563.0,10/30/2020,5/6/2021,3/1/2021
275,0,2/23/2021,Barreiras,Melancia irrigada,109,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,1298,-0.14,0.4,-0.69,57900.0,20980.0,-333.0,5/3/2021,11/1/2020,8/26/2021
276,0,3/28/2021,Barreiras,Melancia irrigada,89,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,4541,1.09,-0.33,-0.77,281550.0,38810.0,-340.0,10/11/2020,8/15/2021,12/29/2020
277,2,4/8/2021,Barreiras,Melancia irrigada,116,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,6113,0.92,-1.75,0.69,351650.0,26130.0,406.0,10/12/2020,10/21/2020,11/9/2020
278,3,10/5/2020,Barreiras,Melancia irrigada,96,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,4415,-0.46,0.54,-1.37,197750.0,54950.0,-641.0,2/13/2021,2/4/2021,12/31/2020
279,3,7/16/2021,Barreiras,Cebola Sequeiro,113,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,193,0.03,0.46,0.52,11150.0,11130.0,261.0,10/15/2020,2/4/2021,10/26/2020
280,0,2/17/2021,Barreiras,Melancia irrigada,108,a odio in hac habitasse platea dictumst maecenas ut massa quis,3509,0.07,0.23,0.04,178950.0,39690.0,55.0,8/19/2021,11/30/2020,2/18/2021
281,2,7/29/2021,Barreiras,Cebola Sequeiro,85,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,2969,0.06,-1.72,-0.18,151450.0,-4710.0,-61.0,4/14/2021,1/25/2021,12/3/2020
282,1,5/4/2021,Barreiras,Melancia irrigada,99,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,829,2.13,0.4,1.67,147950.0,16290.0,843.0,7/11/2021,1/21/2021,10/8/2020
283,3,9/12/2020,Barreiras,Melancia irrigada,15,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,4999,2.13,-0.89,-1.69,356450.0,32190.0,-796.0,3/11/2021,4/26/2021,7/29/2021
284,1,5/18/2021,Barreiras,Cebola Sequeiro,38,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,8076,1.1,1.01,0.29,458800.0,100960.0,225.0,9/22/2020,6/27/2021,11/11/2020
285,0,4/3/2021,Barreiras,Cebola Sequeiro,115,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,784,-1.83,-0.86,-0.6,-52300.0,-9360.0,-293.0,11/8/2020,4/22/2021,4/16/2021
286,4,9/13/2021,Barreiras,Melancia irrigada,77,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,8804,-0.26,0.25,-0.76,427200.0,93040.0,-292.0,3/4/2021,7/31/2021,1/27/2021
287,0,3/24/2021,Barreiras,Cebola Sequeiro,21,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,8489,2.02,0.77,1.13,525450.0,100290.0,649.0,12/14/2020,12/7/2020,5/23/2021
288,4,1/6/2021,Barreiras,Cebola Sequeiro,37,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,9606,1.32,2.45,0.92,546300.0,145060.0,556.0,2/5/2021,5/21/2021,12/1/2020
289,0,6/28/2021,Barreiras,Cebola Sequeiro,1,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,7075,0.24,-0.27,-0.83,365750.0,65350.0,-345.0,11/22/2020,8/12/2021,3/17/2021
290,3,5/17/2021,Barreiras,Abobora Irrigada,125,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,1825,0.42,-1.63,-0.63,112250.0,-14350.0,-297.0,9/25/2020,4/16/2021,6/25/2021
291,4,6/4/2021,Barreiras,Cebola Sequeiro,99,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,7031,0.52,-2.2,0.18,377550.0,26310.0,160.0,9/18/2020,9/19/2020,2/20/2021
292,3,6/17/2021,Barreiras,Cebola Sequeiro,84,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,8727,-0.12,-1.6,0.13,430350.0,55270.0,152.0,8/24/2021,10/7/2020,7/13/2021
293,0,2/1/2021,Barreiras,Melancia irrigada,82,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,5682,0.27,-0.85,0.4,297600.0,39820.0,256.0,9/24/2020,12/18/2020,6/13/2021
294,1,4/29/2021,Barreiras,Melancia irrigada,81,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,1945,0.45,0.1,-0.61,119750.0,21450.0,-286.0,11/30/2020,4/19/2021,4/10/2021
295,4,11/2/2020,Barreiras,Abobora Irrigada,140,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,5858,-0.44,-1.43,-0.06,270900.0,29980.0,28.0,4/2/2021,11/9/2020,1/24/2021
296,1,8/24/2021,Barreiras,Abobora Irrigada,98,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,936,-0.18,-0.67,1.03,37800.0,-4040.0,524.0,10/16/2020,2/18/2021,11/3/2020
297,1,5/12/2021,Barreiras,Melancia irrigada,125,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,5219,-0.29,0.74,-1.35,246450.0,66990.0,-623.0,12/24/2020,4/17/2021,1/1/2021
298,2,4/23/2021,Barreiras,Abobora Irrigada,94,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,1688,0.68,0.3,-0.77,118400.0,22880.0,-369.0,3/1/2021,12/17/2020,9/25/2020
299,3,1/25/2021,Barreiras,Abobora Irrigada,97,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,8781,-0.54,-0.91,0.36,412050.0,69610.0,267.0,6/20/2021,5/19/2021,10/29/2020
300,4,6/23/2021,Barreiras,Abobora Irrigada,72,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,3584,-0.87,1.85,-0.76,135700.0,72840.0,-345.0,7/18/2021,8/23/2021,10/20/2020
301,3,4/26/2021,Barreiras,Cebola Sequeiro,21,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,2890,-1.14,0.28,-1.92,87500.0,34500.0,-932.0,1/15/2021,6/21/2021,1/9/2021
302,2,11/27/2020,Barreiras,Cebola Sequeiro,147,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,4647,0.18,-0.49,1.07,241350.0,36670.0,581.0,7/30/2021,3/31/2021,7/4/2021
303,1,3/22/2021,Barreiras,Cebola Sequeiro,65,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,5046,-1.39,1.08,-0.1,182800.0,72060.0,0.0,10/15/2020,1/31/2021,5/11/2021
304,0,3/8/2021,Barreiras,Cebola Sequeiro,115,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,8761,-1.47,2.93,2.12,364550.0,146210.0,1147.0,10/8/2020,11/10/2020,11/30/2020
305,2,12/18/2020,Barreiras,Abobora Irrigada,68,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,6043,0.64,-0.09,0.08,334150.0,58630.0,100.0,10/21/2020,6/13/2021,8/9/2021
306,0,9/23/2021,Barreiras,Abobora Irrigada,6,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,9015,0.07,0.79,-1.44,454250.0,105950.0,-630.0,11/13/2020,1/2/2021,4/22/2021
307,4,2/22/2021,Barreiras,Melancia irrigada,52,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,4883,-1.78,3.39,-0.14,155150.0,116630.0,-22.0,10/11/2020,10/4/2020,10/21/2020
308,1,5/19/2021,Barreiras,Cebola Sequeiro,23,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,8823,-0.03,0.58,0.82,439650.0,99830.0,498.0,7/27/2021,7/10/2021,11/27/2020
309,4,12/24/2020,Barreiras,Abobora Irrigada,39,eleifend luctus ultricies eu nibh quisque id justo sit amet,617,0.73,1.31,-0.29,67350.0,32370.0,-139.0,12/16/2020,12/24/2020,3/1/2021
310,2,9/17/2020,Barreiras,Melancia irrigada,79,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,8854,-0.56,-1.31,-0.52,414700.0,62340.0,-172.0,10/7/2020,7/11/2021,6/20/2021
311,3,12/6/2020,Barreiras,Abobora Irrigada,145,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,1146,-0.37,0.41,0.76,38800.0,19660.0,391.0,10/29/2020,9/13/2021,4/3/2021
312,2,5/16/2021,Barreiras,Melancia irrigada,123,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,2325,-0.34,0.31,-0.64,99250.0,29450.0,-297.0,5/5/2021,10/17/2020,9/10/2021
313,4,5/31/2021,Barreiras,Abobora Irrigada,102,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,5886,-0.35,0.78,-0.21,276800.0,74460.0,-47.0,9/2/2021,2/26/2021,4/18/2021
314,0,2/6/2021,Barreiras,Melancia irrigada,128,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,6870,-0.59,1.52,-1.91,314000.0,99100.0,-887.0,10/8/2020,4/18/2021,8/1/2021
315,3,5/17/2021,Barreiras,Melancia irrigada,2,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,4008,-0.22,1.24,2.39,189400.0,64880.0,1235.0,9/8/2021,3/8/2021,3/27/2021
316,1,1/3/2021,Barreiras,Melancia irrigada,75,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,2525,0.16,-0.26,1.32,134250.0,20050.0,685.0,9/30/2020,1/30/2021,2/22/2021
317,3,6/10/2021,Barreiras,Melancia irrigada,65,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,3019,1.54,0.44,1.12,227950.0,38990.0,590.0,7/21/2021,11/3/2020,9/1/2021
318,4,6/27/2021,Barreiras,Melancia irrigada,18,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,9493,0.85,1.24,0.22,517150.0,119730.0,204.0,9/28/2020,4/14/2021,12/14/2020
319,0,1/13/2021,Barreiras,Cebola Sequeiro,22,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,341,0.62,1.41,-1.35,48050.0,31610.0,-672.0,10/19/2020,2/3/2021,2/28/2021
320,0,4/6/2021,Barreiras,Melancia irrigada,27,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,9496,2.28,-0.15,2.86,588800.0,91960.0,1524.0,4/18/2021,10/16/2020,7/18/2021
321,3,8/11/2021,Barreiras,Melancia irrigada,132,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,4438,1.81,-1.19,1.69,312400.0,20580.0,889.0,7/29/2021,7/13/2021,10/3/2020
322,0,6/28/2021,Barreiras,Melancia irrigada,111,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,7596,0.52,-0.12,-0.31,405800.0,73560.0,-80.0,2/11/2021,4/5/2021,6/15/2021
323,1,12/12/2020,Barreiras,Cebola Sequeiro,9,luctus nec molestie sed justo pellentesque viverra pede ac diam,2744,-0.05,2.1,-0.02,134700.0,69440.0,17.0,9/22/2020,5/12/2021,1/24/2021
324,4,5/27/2021,Barreiras,Cebola Sequeiro,121,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,3180,-0.78,0.03,0.87,120000.0,32400.0,466.0,5/16/2021,1/31/2021,9/15/2020
325,1,1/16/2021,Barreiras,Melancia irrigada,122,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,5611,-0.55,0.1,-1.22,253050.0,58110.0,-554.0,6/29/2021,11/13/2020,10/25/2020
326,0,4/6/2021,Barreiras,Abobora Irrigada,149,venenatis lacinia aenean sit amet justo morbi ut odio cras,8768,-0.71,-0.03,0.21,402900.0,87080.0,192.0,1/18/2021,2/15/2021,4/17/2021
327,0,5/6/2021,Barreiras,Cebola Sequeiro,65,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor,7605,-0.79,1.51,-0.32,340750.0,106250.0,-84.0,10/9/2020,1/8/2021,6/18/2021
328,0,1/30/2021,Barreiras,Melancia irrigada,93,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,9059,-0.04,0.99,0.11,450950.0,110390.0,145.0,4/6/2021,6/25/2021,5/10/2021
329,3,4/14/2021,Barreiras,Melancia irrigada,3,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,5117,0.34,0.76,0.1,272850.0,66370.0,101.0,4/22/2021,2/6/2021,5/21/2021
330,2,5/25/2021,Barreiras,Cebola Sequeiro,38,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,5987,0.81,-0.64,0.64,339850.0,47070.0,379.0,7/11/2021,8/4/2021,3/20/2021
331,1,12/3/2020,Barreiras,Melancia irrigada,124,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,6139,-0.2,-1.07,-0.15,296950.0,39990.0,-14.0,10/4/2020,2/24/2021,1/12/2021
332,0,1/28/2021,Barreiras,Abobora Irrigada,67,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,9450,-0.69,0.01,-2.03,438000.0,94700.0,-921.0,7/21/2021,9/17/2020,1/24/2021
333,2,4/13/2021,Barreiras,Melancia irrigada,36,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,8465,-0.6,-1.9,-0.84,393250.0,46650.0,-336.0,8/18/2021,6/30/2021,1/28/2021
334,2,9/25/2021,Barreiras,Abobora Irrigada,18,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,3296,0.3,-1.26,-0.55,179800.0,7760.0,-243.0,9/24/2020,9/27/2020,12/8/2020
335,3,12/12/2020,Barreiras,Melancia irrigada,120,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,1174,0.4,-0.06,1.23,78700.0,10540.0,626.0,7/14/2021,10/19/2020,7/1/2021
336,4,1/1/2021,Barreiras,Abobora Irrigada,116,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,3729,-1.09,-0.84,-0.52,131950.0,20490.0,-223.0,4/25/2021,6/22/2021,5/23/2021
337,0,12/16/2020,Barreiras,Melancia irrigada,109,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,1368,1.35,1.28,-0.91,135900.0,39280.0,-442.0,12/4/2020,9/2/2021,7/4/2021
338,0,9/29/2021,Barreiras,Melancia irrigada,37,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,2166,-0.58,-0.19,-1.36,79300.0,17860.0,-659.0,9/26/2020,4/18/2021,10/24/2020
339,2,6/5/2021,Barreiras,Abobora Irrigada,95,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,6971,0.65,0.11,1.06,381050.0,71910.0,599.0,4/11/2021,10/30/2020,2/3/2021
340,2,8/25/2021,Barreiras,Melancia irrigada,106,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,1165,1.16,-0.93,0.3,116250.0,-6950.0,161.0,7/25/2021,3/21/2021,10/13/2020
341,3,9/3/2020,Barreiras,Melancia irrigada,40,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,4289,0.15,-1.06,-0.8,221950.0,21690.0,-358.0,4/10/2021,4/9/2021,6/19/2021
342,3,9/30/2020,Barreiras,Melancia irrigada,57,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,4114,2.85,-0.39,-0.01,348200.0,33340.0,36.0,12/3/2020,2/24/2021,9/25/2020
343,1,7/31/2021,Barreiras,Abobora Irrigada,128,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,2417,-1.01,0.39,0.15,70350.0,31970.0,99.0,11/18/2020,8/1/2021,7/5/2021
